SnmpWalk v1.01 - Copyright (C) 2009 SnmpSoft Company
[ More useful network tools on http://www.snmpsoft.com ]

OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.27.63, Type=Integer, Value=6
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.27.66, Type=Integer, Value=18
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.28.202, Type=Integer, Value=18
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.98.175, Type=Integer, Value=6
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.98.222, Type=Integer, Value=18
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.125.237, Type=Integer, Value=18
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.144.12.110, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.144.12.114, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.144.12.119, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.144.12.121, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.144.12.123, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.144.12.125, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.144.12.129, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.144.12.132, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.144.22.223, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.144.22.231, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.144.22.233, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.144.22.235, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.144.22.239, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.144.37.251, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.144.37.252, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.144.38.2, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.144.110.161, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.144.110.162, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.144.111.114, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.150.53.175, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.150.123.167, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.181.9.60, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.181.13.38, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.181.22.248, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.181.23.222, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.181.24.213, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.181.34.235, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.181.41.253, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.181.45.204, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.181.48.14, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.181.57.76, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.181.72.152, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.181.73.20, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.144.143.11.199.3, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.156.2.239.195.128, Type=Integer, Value=0
OID=.1.3.6.1.2.1.17.4.3.1.2.0.181.109.4.65.136, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.192.183.158.56.49, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.192.183.158.56.50, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.16.31.116.112.51.190, Type=Integer, Value=19
